1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.27E-03,2.14E-03,1.33E-03,1.23E-03,1.54E-03,1.62E-03,1.34E-03,1.16E-03,1.40E-03,1.20E-03,1.39E-03,1.82E-03,1.37E-03,1.66E-03,1.68E-03,2.23E-03
1.26E-03,2.13E-03,1.31E-03,1.22E-03,1.52E-03,1.60E-03,1.32E-03,1.13E-03,1.38E-03,1.18E-03,1.37E-03,1.81E-03,1.35E-03,1.62E-03,1.66E-03,2.20E-03
1.25E-03,2.11E-03,1.30E-03,1.20E-03,1.50E-03,1.58E-03,1.30E-03,1.11E-03,1.36E-03,1.15E-03,1.35E-03,1.79E-03,1.33E-03,1.58E-03,1.63E-03,2.17E-03
1.24E-03,2.09E-03,1.29E-03,1.20E-03,1.47E-03,1.56E-03,1.29E-03,1.08E-03,1.33E-03,1.10E-03,1.33E-03,1.77E-03,1.30E-03,1.54E-03,1.59E-03,2.13E-03
1.22E-03,2.07E-03,1.26E-03,1.19E-03,1.44E-03,1.53E-03,1.26E-03,1.05E-03,1.31E-03,1.05E-03,1.31E-03,1.75E-03,1.28E-03,1.50E-03,1.56E-03,2.10E-03
1.21E-03,2.05E-03,1.25E-03,1.17E-03,1.42E-03,1.51E-03,1.25E-03,1.03E-03,1.29E-03,1.03E-03,1.30E-03,1.74E-03,1.26E-03,1.46E-03,1.53E-03,2.06E-03
1.20E-03,2.04E-03,1.23E-03,1.15E-03,1.40E-03,1.49E-03,1.23E-03,1.02E-03,1.27E-03,1.01E-03,1.28E-03,1.72E-03,1.25E-03,1.42E-03,1.51E-03,2.02E-03
1.18E-03,2.02E-03,1.22E-03,1.14E-03,1.38E-03,1.47E-03,1.21E-03,9.97E-04,1.25E-03,9.87E-04,1.26E-03,1.71E-03,1.24E-03,1.39E-03,1.49E-03,1.99E-03
1.17E-03,2.01E-03,1.20E-03,1.12E-03,1.36E-03,1.45E-03,1.19E-03,9.79E-04,1.22E-03,9.67E-04,1.24E-03,1.69E-03,1.23E-03,1.36E-03,1.47E-03,1.95E-03
1.16E-03,1.99E-03,1.19E-03,1.10E-03,1.34E-03,1.43E-03,1.18E-03,9.62E-04,1.20E-03,9.47E-04,1.22E-03,1.67E-03,1.21E-03,1.32E-03,1.45E-03,1.92E-03
1.15E-03,1.97E-03,1.17E-03,1.09E-03,1.29E-03,1.41E-03,1.16E-03,9.36E-04,1.18E-03,9.10E-04,1.20E-03,1.65E-03,1.19E-03,1.29E-03,1.41E-03,1.88E-03
1.13E-03,1.94E-03,1.14E-03,1.07E-03,1.25E-03,1.38E-03,1.13E-03,9.11E-04,1.16E-03,8.69E-04,1.17E-03,1.62E-03,1.17E-03,1.26E-03,1.38E-03,1.85E-03
1.13E-03,1.94E-03,1.13E-03,1.06E-03,1.20E-03,1.36E-03,1.11E-03,8.92E-04,1.14E-03,8.31E-04,1.16E-03,1.61E-03,1.17E-03,1.24E-03,1.38E-03,1.84E-03
1.12E-03,1.93E-03,1.13E-03,1.05E-03,1.15E-03,1.34E-03,1.08E-03,8.66E-04,1.12E-03,7.96E-04,1.15E-03,1.61E-03,1.17E-03,1.22E-03,1.37E-03,1.82E-03
1.12E-03,1.93E-03,1.13E-03,1.05E-03,1.11E-03,1.32E-03,1.05E-03,8.42E-04,1.11E-03,7.62E-04,1.14E-03,1.60E-03,1.17E-03,1.20E-03,1.37E-03,1.81E-03
1.12E-03,1.92E-03,1.12E-03,1.04E-03,1.06E-03,1.29E-03,1.03E-03,8.18E-04,1.09E-03,7.31E-04,1.13E-03,1.58E-03,1.17E-03,1.19E-03,1.37E-03,1.80E-03
1.11E-03,1.91E-03,1.12E-03,1.03E-03,1.02E-03,1.27E-03,1.00E-03,7.94E-04,1.07E-03,6.99E-04,1.11E-03,1.57E-03,1.16E-03,1.17E-03,1.36E-03,1.78E-03
1.11E-03,1.89E-03,1.10E-03,1.02E-03,9.83E-04,1.25E-03,9.74E-04,7.70E-04,1.05E-03,6.70E-04,1.10E-03,1.55E-03,1.14E-03,1.14E-03,1.33E-03,1.75E-03
1.10E-03,1.87E-03,1.08E-03,9.84E-04,9.43E-04,1.21E-03,9.46E-04,7.46E-04,1.03E-03,6.38E-04,1.09E-03,1.54E-03,1.12E-03,1.12E-03,1.30E-03,1.73E-03
1.09E-03,1.87E-03,1.04E-03,9.48E-04,9.07E-04,1.19E-03,9.23E-04,7.21E-04,1.01E-03,6.12E-04,1.08E-03,1.53E-03,1.12E-03,1.10E-03,1.30E-03,1.72E-03
1.09E-03,1.86E-03,1.01E-03,9.14E-04,8.72E-04,1.17E-03,9.00E-04,6.98E-04,9.84E-04,5.88E-04,1.07E-03,1.52E-03,1.12E-03,1.09E-03,1.29E-03,1.70E-03
1.09E-03,1.85E-03,9.70E-04,8.81E-04,8.38E-04,1.15E-03,8.78E-04,6.75E-04,9.63E-04,5.65E-04,1.06E-03,1.51E-03,1.11E-03,1.05E-03,1.26E-03,1.66E-03
1.09E-03,1.85E-03,9.36E-04,8.49E-04,8.06E-04,1.13E-03,8.56E-04,6.54E-04,9.42E-04,5.43E-04,1.05E-03,1.50E-03,1.11E-03,1.02E-03,1.23E-03,1.62E-03
1.09E-03,1.84E-03,9.02E-04,8.18E-04,7.75E-04,1.11E-03,8.35E-04,6.33E-04,9.21E-04,5.22E-04,1.04E-03,1.49E-03,1.11E-03,9.87E-04,1.19E-03,1.59E-03
1.09E-03,1.82E-03,8.69E-04,7.83E-04,7.44E-04,1.09E-03,8.12E-04,6.13E-04,8.99E-04,5.04E-04,1.01E-03,1.47E-03,1.09E-03,9.53E-04,1.16E-03,1.55E-03
1.08E-03,1.80E-03,8.34E-04,7.38E-04,7.13E-04,1.05E-03,7.89E-04,5.93E-04,8.78E-04,4.83E-04,9.91E-04,1.44E-03,1.08E-03,9.20E-04,1.12E-03,1.52E-03
1.08E-03,1.80E-03,8.05E-04,7.13E-04,6.84E-04,1.03E-03,7.70E-04,5.74E-04,8.58E-04,4.65E-04,9.77E-04,1.43E-03,1.07E-03,8.90E-04,1.09E-03,1.48E-03
1.08E-03,1.79E-03,7.76E-04,6.88E-04,6.56E-04,1.01E-03,7.50E-04,5.55E-04,8.39E-04,4.48E-04,9.64E-04,1.41E-03,1.07E-03,8.61E-04,1.06E-03,1.45E-03
1.08E-03,1.79E-03,7.49E-04,6.63E-04,6.30E-04,9.91E-04,7.31E-04,5.38E-04,8.20E-04,4.32E-04,9.50E-04,1.40E-03,1.07E-03,8.32E-04,1.03E-03,1.42E-03
1.08E-03,1.78E-03,7.22E-04,6.40E-04,6.04E-04,9.73E-04,7.13E-04,5.21E-04,8.02E-04,4.17E-04,9.38E-04,1.38E-03,1.06E-03,8.06E-04,1.00E-03,1.39E-03
